,size,total_sqft,bath,price,site_location,bhk
3018,1 BHK,630.0,1.0,35.0,Ganeshkhind,1
3019,5 Bedroom,3500.0,5.0,350.0,Ganeshkhind,5
3021,1 BHK,410.0,1.0,15.0,Ganeshkhind,1
3022,3 BHK,2200.0,3.0,160.0,Ganeshkhind,3
3023,2 BHK,1147.0,2.0,75.0,Ganeshkhind,2
3024,2 BHK,1131.0,2.0,55.975,Ganeshkhind,2
3025,4 BHK,3150.0,4.0,218.0,Ganeshkhind,4
3026,3 BHK,1719.0,3.0,110.0,Ganeshkhind,3
3027,3 BHK,1780.0,3.0,88.0,Ganeshkhind,3
3028,4 BHK,3800.0,4.0,235.0,Ganeshkhind,4
3029,3 BHK,1623.0,3.0,155.0,Ganeshkhind,3
3030,4 Bedroom,1500.0,2.0,87.0,Ganeshkhind,4
3032,3 BHK,1645.0,3.0,113.0,Ganeshkhind,3
3033,2 BHK,1350.0,2.0,103.0,Ganeshkhind,2
3034,1 BHK,661.0,1.0,33.0,Ganeshkhind,1
3035,3 BHK,1345.0,2.0,69.0,Ganeshkhind,3
3039,2 BHK,896.9,2.0,78.74,Ganeshkhind,2
3041,3 BHK,1746.0,3.0,115.0,Ganeshkhind,3
3042,3 BHK,1880.0,3.0,110.0,Ganeshkhind,3
3044,2 BHK,943.0,2.0,48.0,Ganeshkhind,2
3048,1 BHK,633.0,1.0,17.09,Ganeshkhind,1
3049,2 BHK,1368.0,2.0,87.0,Ganeshkhind,2
3050,3 BHK,1241.0,2.0,68.0,Ganeshkhind,3
3052,3 BHK,2135.0,3.0,170.0,Ganeshkhind,3
3053,2 BHK,1250.0,2.0,65.0,Ganeshkhind,2
3054,3 BHK,2321.0,4.0,157.0,Ganeshkhind,3
3055,1 BHK,602.0,2.0,30.0,Ganeshkhind,1
3056,3 BHK,1650.0,3.0,125.0,Ganeshkhind,3
3057,2 BHK,1155.0,2.0,69.18,Ganeshkhind,2
3058,6 Bedroom,30400.0,4.0,1824.0,Ganeshkhind,6
3060,2 BHK,1200.0,2.0,75.0,Ganeshkhind,2
3062,3 BHK,1610.0,3.0,81.0,Ghorpade Peth,3
3064,3 BHK,1787.0,3.0,98.29,Ghorpade Peth,3
3067,3 Bedroom,1125.0,4.0,70.0,Ghorpade Peth,3
3068,3 Bedroom,1500.0,2.0,87.0,Ghorpade Peth,3
3069,3 BHK,1400.0,2.0,77.0,Ghorpade Peth,3
3071,3 BHK,1891.0,3.0,109.0,Ghorpade Peth,3
3073,1 BHK,697.0,1.0,45.0,Ghorpade Peth,1
3074,3 Bedroom,1200.0,3.0,130.0,Ghorpade Peth,3
3075,3 BHK,1790.0,3.0,127.0,Ghorpade Peth,3
3077,3 BHK,2070.0,3.0,162.0,Ghorpade Peth,3
3078,4 Bedroom,4000.0,4.0,330.0,Ghorpade Peth,4
3080,4 Bedroom,3500.0,6.0,225.0,Ghorpade Peth,4
3082,3 BHK,1754.0,3.0,125.0,Ghorpade Peth,3
3083,3 BHK,1605.0,3.0,85.0,Ghorpade Peth,3
3084,2 BHK,1404.0,2.0,75.0,Ghorpade Peth,2
3085,2 BHK,1145.0,2.0,65.0,Ghorpade Peth,2
3086,6 BHK,11338.0,9.0,1000.0,Ghorpade Peth,6
3087,2 BHK,1352.5,2.0,93.865,Ghorpade Peth,2
3088,1 BHK,700.0,1.0,41.0,Ghorpade Peth,1
3090,3 BHK,3850.0,5.0,316.0,Ghorpade Peth,3
3093,3 BHK,2408.0,4.0,260.0,Ghorpade Peth,3
3094,3 BHK,1315.0,2.0,85.4,Ghorpade Peth,3
3095,2 BHK,1208.0,2.0,70.0,Ghorpade Peth,2
3096,2 BHK,1100.0,2.0,56.1,Ghorpade Peth,2
3097,3 BHK,1645.0,3.0,135.0,Ghorpade Peth,3
3098,3 BHK,1374.0,3.0,68.0,Ghorpade Peth,3
3099,3 BHK,2000.0,3.0,185.0,Ghorpade Peth,3
3102,4 BHK,3252.0,4.0,280.0,Ghorpade Peth,4
3104,2 BHK,1280.0,2.0,75.0,Ghorpade Peth,2
3106,2 BHK,1145.0,2.0,75.0,Ghorpade Peth,2
3107,3 BHK,2162.0,3.0,200.0,Ghorpade Peth,3
3114,6 Bedroom,1800.0,3.0,105.0,Ghorpade Peth,6
3115,3 BHK,1075.0,2.0,52.0,Ghorpade Peth,3
3118,2 BHK,814.0,2.0,42.0,Ghorpade Peth,2
3122,3 BHK,1750.0,3.0,86.5,Ghorpade Peth,3
3123,2 BHK,1418.0,2.0,105.0,Ghorpade Peth,2
3124,1 BHK,605.0,1.0,40.0,Ghorpade Peth,1
3125,2 BHK,1178.0,2.0,82.0,Ghorpade Peth,2
3127,2 BHK,1541.0,2.0,130.0,Ghorpade Peth,2
3129,4 Bedroom,3990.0,4.0,260.0,Ghorpade Peth,4
3130,1 BHK,654.0,1.0,36.25,Ghorpade Peth,1
3132,3 BHK,1655.0,3.0,97.0,Ghorpade Peth,3
3134,2 BHK,1345.0,2.0,97.0,Ghorpade Peth,2
3138,2 BHK,1007.0,2.0,75.0,Ghorpade Peth,2
3140,3 BHK,1240.0,2.0,63.0,Ghorpade Peth,3
3141,3 BHK,1855.0,3.0,140.0,Ghorpade Peth,3
3144,2 BHK,1350.0,2.0,88.0,Ghorpade Peth,2
3145,3 BHK,1636.0,3.0,83.0,Ghorpade Peth,3
3149,3 BHK,1305.0,2.0,110.0,Ghorpade Peth,3
3151,2 BHK,800.0,2.0,55.0,Ghorpade Peth,2
3154,2 BHK,1115.0,2.0,61.0,Ghorpade Peth,2
3155,1 BHK,625.0,1.0,27.0,Ghorpade Peth,1
3158,3 BHK,2215.0,4.0,162.0,Ghorpade Peth,3
3160,3 BHK,1495.0,3.0,90.0,Ghorpade Peth,3
3161,1 BHK,485.0,1.0,19.5,Ghorpade Peth,1
3162,1 BHK,420.0,1.0,12.5,Ghorpade Peth,1
3164,2 BHK,950.0,2.0,55.0,Ghorpade Peth,2
3167,2 Bedroom,1200.0,2.0,120.0,Ghorpade Peth,2
3168,1 BHK,540.0,1.0,24.0,Ghorpade Peth,1
3169,2 BHK,1035.0,2.0,60.0,Ghorpade Peth,2
3170,4 BHK,3124.0,6.0,349.0,Ghorpade Peth,4
3172,3 BHK,1282.0,2.0,68.52,Ghorpadi,3
3173,2 BHK,750.0,2.0,38.0,Ghorpadi,2
3174,2 BHK,883.0,2.0,45.0,Ghorpadi,2
3175,2 BHK,1222.0,2.0,63.0,Ghorpadi,2
3176,3 Bedroom,1200.0,2.0,66.0,Ghorpadi,3
3177,3 BHK,1600.0,3.0,90.0,Ghorpadi,3
3178,1 BHK,710.0,1.0,27.0,Ghorpadi,1
3179,2 BHK,957.0,2.0,56.0,Ghorpadi,2
3181,2 BHK,1128.0,2.0,65.65,Ghorpadi,2
3182,3 BHK,1427.0,2.0,80.63,Ghorpadi,3
3184,2 BHK,1128.0,2.0,75.0,Ghorpadi,2
3188,3 BHK,1560.0,3.0,85.0,Ghorpadi,3
3189,4 Bedroom,3400.0,3.0,210.0,Ghorpadi,4
3194,2 BHK,1125.0,2.0,75.0,Ghorpadi,2
3200,2 BHK,1140.0,2.0,65.0,Ghorpadi,2
3201,2 BHK,1400.0,2.0,78.0,Ghorpadi,2
3202,4 Bedroom,4500.0,5.0,300.0,Ghorpadi,4
3205,1 BHK,624.0,1.0,35.0,Ghorpadi,1
3206,2 BHK,1608.0,2.0,85.0,Ghorpadi,2
3207,3 BHK,1255.0,3.0,77.68,Ghorpadi,3
3208,3 Bedroom,1200.0,3.0,67.77,Ghorpadi,3
3209,3 BHK,1300.0,2.0,63.0,Ghorpadi,3
3213,2 BHK,1200.0,2.0,67.0,Ghorpadi,2
3214,3 BHK,1793.0,3.0,98.0,Ghorpadi,3
3215,3 Bedroom,1200.0,3.0,67.0,Ghorpadi,3
3216,2 BHK,1180.0,2.0,58.0,Ghorpadi,2
3219,2 BHK,1100.0,1.0,55.0,Ghorpadi,2
3226,2 BHK,1163.0,2.0,65.0,Ghorpadi,2
3228,2 BHK,1331.0,2.0,88.0,Ghorpadi,2
3230,3 Bedroom,1200.0,3.0,70.0,Ghorpadi,3
3231,4 BHK,2130.0,4.0,120.0,Ghorpadi,4
3232,2 BHK,1495.0,2.0,83.0,Ghorpadi,2
3234,3 Bedroom,1200.0,3.0,56.12,Ghorpadi,3
3236,2 BHK,1325.0,2.0,73.0,Ghorpadi,2
3237,2 BHK,1012.0,2.0,53.58,Ghorpadi,2
3238,1 BHK,800.0,1.0,39.99,Ghorpadi,1
3239,4 BHK,3855.0,4.0,220.0,Ghorpadi,4
3241,2 Bedroom,1100.0,2.0,55.0,Ghorpadi,2
3242,4 Bedroom,1350.0,4.0,90.0,Ghorpadi,4
3244,4 Bedroom,2557.0,2.0,170.0,Ghorpadi,4
3245,3 BHK,1384.0,2.0,76.18,Ghorpadi,3
3246,1 BHK,450.0,1.0,20.0,Ghorpadi,1
3247,3 BHK,1787.0,3.0,116.0,Ghorpadi,3
3249,4 BHK,3075.0,2.0,188.0,Ghorpadi,4
3251,1 BHK,933.0,1.0,61.0,Ghorpadi,1
3253,2 BHK,1060.0,2.0,52.0,Ghorpadi,2
3255,1 BHK,418.0,1.0,17.0,Ghorpadi,1
3261,3 BHK,1747.0,3.0,110.0,Ghorpadi,3
3262,2 BHK,960.0,2.0,48.0,Ghorpadi,2
3265,7 BHK,2500.0,8.0,95.0,Ghorpadi,7
3266,2 BHK,1150.0,2.0,57.0,Ghorpadi,2
3267,3 BHK,1835.0,3.0,89.0,Ghorpadi,3
3269,1 BHK,755.0,1.0,30.12,Ghorpadi,1
3270,2 BHK,1182.0,2.0,64.0,Ghorpadi,2
3271,3 Bedroom,1500.0,3.0,71.0,Ghorpadi,3
3274,3 BHK,1475.0,2.0,90.0,Gokhale Nagar,3
3275,2 BHK,1280.0,2.0,75.0,Gokhale Nagar,2
3276,2 BHK,1195.0,2.0,70.0,Gokhale Nagar,2
3282,3 BHK,1835.0,2.0,155.0,Gokhale Nagar,3
3283,2 BHK,1180.0,2.0,70.0,Gokhale Nagar,2
3285,4 BHK,3900.0,4.0,300.0,Gokhale Nagar,4
3286,3 BHK,1691.0,3.0,119.0,Gokhale Nagar,3
3287,3 BHK,1050.0,2.0,57.0,Gokhale Nagar,3
3288,4 BHK,3012.0,6.0,268.0,Gokhale Nagar,4
3290,3 BHK,2200.0,3.0,190.0,Gokhale Nagar,3
3292,3 Bedroom,1550.0,3.0,120.0,Gokhale Nagar,3
3293,2 BHK,1420.0,2.0,123.0,Gokhale Nagar,2
3294,4 Bedroom,1670.0,3.0,135.0,Gokhale Nagar,4
3295,1 Bedroom,800.0,1.0,52.0,Gokhale Nagar,1
3297,3 BHK,1665.0,3.0,110.0,Gokhale Nagar,3
3300,2 BHK,1127.0,2.0,68.0,Gokhale Nagar,2
3302,3 BHK,1725.0,3.0,130.0,Gokhale Nagar,3
3303,2 BHK,1200.0,2.0,75.0,Gokhale Nagar,2
3315,2 BHK,1255.0,2.0,120.0,Gokhale Nagar,2
3317,1 BHK,712.0,1.0,38.44,Gokhale Nagar,1
3319,3 BHK,1416.0,3.0,94.0,Gokhale Nagar,3
3322,1 BHK,840.0,2.0,50.0,Gokhale Nagar,1
3324,2 Bedroom,690.0,2.0,42.0,Gokhale Nagar,2
3326,3 BHK,1650.0,3.0,110.0,Gokhale Nagar,3
3332,3 BHK,1749.0,3.0,120.0,Gokhale Nagar,3
3334,3 BHK,2072.0,4.0,152.0,Gokhale Nagar,3
3335,3 Bedroom,1200.0,3.0,68.38,Gokhale Nagar,3
3337,2 BHK,1180.0,2.0,86.0,Gokhale Nagar,2
3338,2 Bedroom,1000.0,2.0,70.0,Gokhale Nagar,2
3339,3 Bedroom,1830.0,3.0,119.0,Gokhale Nagar,3
3341,3 BHK,1400.0,2.0,80.0,Gokhale Nagar,3
3344,2 BHK,1080.0,2.0,64.0,Gokhale Nagar,2
3345,1 BHK,682.0,1.0,36.23,Gokhale Nagar,1
3346,1 BHK,492.0,1.0,40.0,Gokhale Nagar,1
3347,2 BHK,1332.0,2.0,101.0,Gokhale Nagar,2
3348,1 BHK,551.0,1.0,30.0,Gokhale Nagar,1
3350,4 Bedroom,3170.0,4.0,250.0,Gokhale Nagar,4
3352,1 BHK,1050.0,2.0,41.0,Gokhale Nagar,1
3353,3 BHK,2400.0,3.0,220.0,Gokhale Nagar,3
3354,3 BHK,1705.0,3.0,91.0,Gokhale Nagar,3
3355,2 BHK,1026.0,2.0,60.55,Gokhale Nagar,2
3357,3 BHK,2289.0,3.0,180.0,Gokhale Nagar,3
3358,3 BHK,2041.0,3.0,138.0,Gokhale Nagar,3
3359,8 Bedroom,3600.0,9.0,125.0,Gokhale Nagar,8
3360,3 Bedroom,1200.0,3.0,80.0,Gokhale Nagar,3
3362,4 BHK,2500.0,4.0,225.0,Gokhale Nagar,4
3364,4 Bedroom,3150.0,5.0,212.0,Gokhale Nagar,4
3366,2 Bedroom,1200.0,2.0,82.0,Gokhale Nagar,2
3369,3 BHK,1625.0,3.0,92.0,Gokhale Nagar,3
3370,3 BHK,1660.0,3.0,104.0,Gokhale Nagar,3
3372,4 Bedroom,1200.0,4.0,100.0,Gokhale Nagar,4
3376,3 BHK,1735.0,3.0,97.0,Gokhale Nagar,3
3378,3 BHK,2038.5,3.0,122.0,Gokhale Nagar,3
3379,3 BHK,1420.0,3.0,90.0,Gokhale Nagar,3
3381,4 BHK,2475.0,4.0,186.0,Gultekdi,4
3384,2 BHK,1170.0,2.0,52.0,Gultekdi,2
3386,2 BHK,891.0,2.0,25.0,Gultekdi,2
3387,5 BHK,5600.0,2.0,548.5,Gultekdi,5
3388,2 BHK,1185.0,2.0,42.6,Gultekdi,2
3389,2 BHK,1180.0,2.0,69.0,Gultekdi,2
3390,1 BHK,649.5,1.0,17.535,Gultekdi,1
3392,2 BHK,1050.0,2.0,67.0,Gultekdi,2
3394,3 BHK,1450.0,2.0,85.0,Gultekdi,3
3396,2 BHK,1000.0,2.0,28.88,Gultekdi,2
3398,4 BHK,3675.0,4.0,367.0,Gultekdi,4
3399,2 BHK,1238.0,2.0,67.0,Gultekdi,2
3400,3 BHK,1703.0,3.0,101.0,Gultekdi,3
3402,5 Bedroom,1575.0,4.0,150.0,Gultekdi,5
3403,4 BHK,3035.0,5.0,200.0,Gultekdi,4
3404,2 BHK,1020.0,2.0,39.0,Gultekdi,2
3405,4 Bedroom,30000.0,4.0,2100.0,Gultekdi,4
3407,3 BHK,2250.0,3.0,195.0,Gultekdi,3
3408,2 BHK,1430.0,2.0,113.0,Gultekdi,2
3409,2 BHK,1234.0,2.0,61.0,Gultekdi,2
3410,2 BHK,1468.0,3.0,130.0,Gultekdi,2
3411,2 BHK,1050.0,2.0,41.0,Gultekdi,2
3412,2 BHK,1020.0,2.0,29.46,Gultekdi,2
3413,3 BHK,1397.0,3.0,104.0,Gultekdi,3
3414,2 BHK,888.0,2.0,34.0,Gultekdi,2
3415,2 BHK,927.0,2.0,37.0,Gultekdi,2
3416,3 BHK,1937.0,3.0,140.0,Gultekdi,3
3418,2 BHK,1180.0,2.0,36.5,Gultekdi,2
3419,3 BHK,1155.0,2.0,60.0,Gultekdi,3
3420,3 BHK,2600.0,3.0,237.0,Gultekdi,3
3421,4 Bedroom,3445.0,5.0,270.0,Gultekdi,4
3422,2 BHK,1080.0,2.0,35.0,Gultekdi,2
3423,4 BHK,3960.0,5.0,386.0,Gultekdi,4
3425,2 BHK,1257.0,2.0,69.0,Gultekdi,2
3426,2 BHK,1230.0,2.0,66.25,Gultekdi,2
3427,2 BHK,1134.0,2.0,45.36,Gultekdi,2
3428,2 BHK,1250.0,2.0,40.0,Gultekdi,2
3429,2 BHK,1250.0,2.0,59.0,Gultekdi,2
3432,2 BHK,1385.0,2.0,65.0,Gultekdi,2
3433,2 BHK,1020.0,2.0,41.82,Gultekdi,2
3435,1 BHK,656.0,1.0,43.0,Gultekdi,1
3436,4 BHK,2648.0,5.0,251.5,Gultekdi,4
3437,2 BHK,1302.5,2.0,67.73,Gultekdi,2
3438,2 BHK,1628.0,2.0,68.0,Gultekdi,2
3440,4 BHK,2502.0,4.0,180.0,Gultekdi,4
3441,2 BHK,750.0,2.0,36.0,Gultekdi,2
3442,4 Bedroom,1200.0,4.0,130.0,Gultekdi,4
3443,1 BHK,539.0,1.0,45.0,Gultekdi,1
3444,3 BHK,1639.0,3.0,120.0,Gultekdi,3
3445,3 BHK,1800.0,3.0,95.0,Gultekdi,3
3446,2 BHK,1115.0,2.0,43.0,Gultekdi,2
3447,2 BHK,1093.0,2.0,72.0,Gultekdi,2
3448,1 BHK,450.0,1.0,16.0,Gultekdi,1
3449,3 BHK,1650.0,3.0,85.0,Gultekdi,3
3451,2 BHK,1260.0,2.0,108.0,Gultekdi,2
3452,3 BHK,2501.0,3.0,138.0,Gultekdi,3
3453,2 BHK,1240.0,2.0,58.58,Gultekdi,2
3454,2 BHK,1000.0,2.0,43.0,Gultekdi,2
3455,2 BHK,1020.0,2.0,48.45,Gultekdi,2
3456,2 BHK,1345.0,2.0,108.0,Gultekdi,2
3458,2 BHK,1394.0,2.0,56.0,Gultekdi,2
3459,2 BHK,1077.0,2.0,50.0,Gultekdi,2
3460,2 BHK,1120.0,2.0,36.0,Gultekdi,2
3462,3 BHK,2266.0,3.0,207.0,Gultekdi,3
3463,2 BHK,1120.0,2.0,49.0,Gultekdi,2
3465,2 BHK,1010.0,2.0,40.4,Gultekdi,2
3466,2 BHK,600.0,1.0,27.0,Gultekdi,2
3467,4 Bedroom,2065.0,4.0,248.0,Gultekdi,4
3468,4 Bedroom,4800.0,4.0,420.0,Gultekdi,4
3471,4 BHK,3700.0,4.0,325.0,Gultekdi,4
3472,2 BHK,1050.0,2.0,38.0,Gultekdi,2
3473,2 BHK,972.0,2.0,40.0,Gultekdi,2
3475,2 BHK,1050.0,2.0,51.66,Gultekdi,2
3476,3 BHK,1760.0,3.0,160.0,Gultekdi,3
3477,3 BHK,1839.0,3.0,160.0,Gultekdi,3
3478,3 Bedroom,2316.0,3.0,125.0,Gultekdi,3
3479,2 BHK,1250.0,2.0,65.0,Gultekdi,2
3480,2 Bedroom,1050.0,2.0,125.0,Gultekdi,2
3481,4 Bedroom,1650.0,2.0,140.0,Gultekdi,4
3482,2 BHK,1200.0,2.0,43.0,Gultekdi,2
3483,2 BHK,1279.0,2.0,100.0,Gultekdi,2
3484,2 BHK,1200.0,2.0,78.0,Gultekdi,2
3485,2 BHK,1075.0,2.0,53.7,Gultekdi,2
3486,2 BHK,660.0,1.0,18.0,Gultekdi,2
3487,3 BHK,1960.0,3.0,165.0,Gultekdi,3
3488,2 BHK,1053.0,2.0,51.0,Gultekdi,2
3489,3 BHK,2275.0,4.0,187.0,Gultekdi,3
3490,2 Bedroom,1050.0,2.0,58.0,Gultekdi,2
3491,3 Bedroom,2200.0,4.0,150.0,Gultekdi,3
3492,2 BHK,1299.0,2.0,58.0,Gultekdi,2
3493,2 BHK,940.0,2.0,32.9,Gultekdi,2
3495,2 BHK,850.0,2.0,45.0,Gultekdi,2
3497,4 Bedroom,1200.0,4.0,110.0,Gultekdi,4
3498,3 BHK,1730.0,3.0,175.0,Gultekdi,3
3499,1 BHK,450.0,1.0,20.0,Gultekdi,1
3500,2 BHK,1367.0,2.0,80.0,Gultekdi,2
3501,2 BHK,1232.0,2.0,94.28,Gultekdi,2
3502,2 BHK,600.0,1.0,65.0,Gultekdi,2
3504,2 BHK,945.0,2.0,54.0,Guruwar peth,2
3507,3 BHK,1760.0,3.0,88.0,Guruwar peth,3
3508,1 Bedroom,700.0,1.0,41.0,Guruwar peth,1
3510,3 BHK,1580.0,3.0,76.0,Guruwar peth,3
3511,3 BHK,1779.0,3.0,112.0,Guruwar peth,3
3513,8 Bedroom,2400.0,6.0,125.0,Guruwar peth,8
3515,3 BHK,1565.0,3.0,88.5,Guruwar peth,3
3516,3 BHK,1519.0,3.0,93.0,Guruwar peth,3
3517,1 BHK,340.0,1.0,10.0,Guruwar peth,1
3518,2 BHK,1418.0,2.0,95.0,Guruwar peth,2
3519,3 BHK,1305.0,3.0,95.45,Guruwar peth,3
3520,3 BHK,1210.0,2.0,58.0,Guruwar peth,3
3521,3 BHK,1470.0,2.0,90.0,Guruwar peth,3
3522,6 Bedroom,2400.0,7.0,110.0,Guruwar peth,6
3524,3 BHK,1533.0,3.0,85.0,Guruwar peth,3
3525,4 BHK,3600.0,4.0,365.0,Guruwar peth,4
3526,3 BHK,1590.0,2.0,125.0,Guruwar peth,3
3527,3 BHK,1900.0,3.0,160.0,Guruwar peth,3
3528,3 BHK,1069.0,3.0,65.4,Guruwar peth,3
3529,3 Bedroom,1200.0,3.0,90.0,Guruwar peth,3
3531,3 BHK,2430.0,4.0,180.0,Guruwar peth,3
3532,3 BHK,1340.0,2.0,64.31,Guruwar peth,3
3533,3 BHK,1555.0,2.0,82.0,Guruwar peth,3
3539,3 BHK,1574.0,3.0,93.34,Guruwar peth,3
3541,3 BHK,1725.0,3.0,85.0,Guruwar peth,3
3543,2 BHK,1400.0,2.0,80.0,Guruwar peth,2
3544,3 BHK,1200.0,2.0,68.0,Guruwar peth,3
3548,1 BHK,780.0,1.0,55.0,Guruwar peth,1
3550,3 BHK,1221.0,3.0,72.0,Guruwar peth,3
3551,2 BHK,1575.0,2.0,90.0,Guruwar peth,2
3556,2 Bedroom,1200.0,1.0,95.0,Guruwar peth,2
3557,1 BHK,583.0,1.0,26.9,Guruwar peth,1
3560,4 Bedroom,1200.0,4.0,85.0,Guruwar peth,4
3561,3 BHK,1870.0,3.0,138.0,Guruwar peth,3
3563,3 BHK,1680.0,4.0,95.0,Guruwar peth,3
3566,1 BHK,834.0,1.0,62.0,Guruwar peth,1
3567,2 BHK,1108.0,2.0,74.23,Guruwar peth,2
3568,1 BHK,381.0,1.0,28.0,Guruwar peth,1
3569,3 BHK,1636.0,3.0,92.0,Guruwar peth,3
3570,3 BHK,1565.0,3.0,98.91,Guruwar peth,3
3572,3 BHK,1880.0,3.0,120.0,Guruwar peth,3
3574,3 BHK,1450.0,2.0,85.0,Guruwar peth,3
3575,1 Bedroom,672.0,1.0,27.0,Guruwar peth,1
3577,1 BHK,660.0,1.0,23.0,Guruwar peth,1
3580,3 BHK,1650.0,3.0,85.5,Guruwar peth,3
3582,2 BHK,1200.0,2.0,75.0,Guruwar peth,2
3583,2 BHK,1012.0,2.0,59.0,Guruwar peth,2
3584,3 BHK,1700.0,3.0,126.0,Guruwar peth,3
3587,3 BHK,1252.0,3.0,70.0,Guruwar peth,3
3588,3 BHK,1691.0,3.0,93.01,Guruwar peth,3
3590,3 BHK,1460.0,3.0,76.0,Guruwar peth,3
3591,3 BHK,1715.0,3.0,112.0,Guruwar peth,3
3592,3 BHK,1660.0,3.0,131.0,Guruwar peth,3
3593,7 BHK,4000.0,8.0,150.0,Guruwar peth,7
3602,4 BHK,2569.0,5.0,180.0,Guruwar peth,4
3603,2 BHK,1400.0,2.0,90.0,Guruwar peth,2
3604,4 BHK,3200.0,5.0,309.0,Guruwar peth,4
3605,3 BHK,1419.0,3.0,85.0,Guruwar peth,3
3607,3 BHK,1607.0,2.0,112.0,Guruwar peth,3
3608,2 BHK,953.0,2.0,90.0,Guruwar peth,2
3611,2 BHK,1392.0,2.0,110.0,Guruwar peth,2
3613,3 BHK,1855.0,3.0,96.0,Guruwar peth,3
3614,3 BHK,1684.0,3.0,86.0,Guruwar peth,3
3618,3 BHK,1760.0,2.0,123.0,Hadapsar,3
3619,2 BHK,1500.0,2.0,78.0,Hadapsar,2
3621,2 BHK,1385.0,2.0,83.09,Hadapsar,2
3622,2 BHK,1125.0,2.0,62.0,Hadapsar,2
3623,2 BHK,1246.0,2.0,67.0,Hadapsar,2
3625,3 Bedroom,1092.0,2.0,98.5,Hadapsar,3
3627,2 BHK,1070.0,2.0,42.79,Hadapsar,2
3628,2 BHK,1200.0,2.0,35.0,Hadapsar,2
3629,2 BHK,1190.0,2.0,57.0,Hadapsar,2
3631,4 Bedroom,2000.0,3.0,166.0,Hadapsar,4
3633,2 BHK,1232.0,2.0,89.0,Hadapsar,2
3634,2 BHK,1025.0,2.0,29.6,Hadapsar,2
3635,2 BHK,1035.0,2.0,45.0,Hadapsar,2
3636,2 BHK,1000.0,1.0,55.0,Hadapsar,2
3638,3 BHK,1720.0,3.0,134.0,Hadapsar,3
3639,2 BHK,1168.0,2.0,61.0,Hadapsar,2
3640,2 BHK,1050.0,2.0,36.75,Hadapsar,2
3642,3 BHK,1900.0,3.0,123.0,Hadapsar,3
3643,3 BHK,1804.0,3.0,121.0,Hadapsar,3
3644,3 BHK,2002.0,3.0,112.0,Hadapsar,3
3645,2 BHK,1170.0,2.0,46.79,Hadapsar,2
3646,2 BHK,1000.0,2.0,30.0,Hadapsar,2
3647,4 Bedroom,1575.0,5.0,158.0,Hadapsar,4
3648,1 BHK,532.0,1.0,22.49,Hadapsar,1
3649,1 BHK,923.0,1.0,45.69,Hadapsar,1
3650,2 BHK,1080.0,2.0,39.0,Hadapsar,2
3651,1 BHK,965.0,1.0,32.0,Hadapsar,1
3653,2 BHK,700.0,2.0,40.0,Hadapsar,2
3655,2 BHK,1110.0,2.0,33.0,Hadapsar,2
3656,2 Bedroom,1200.0,2.0,45.0,Hadapsar,2
3658,2 BHK,1220.0,2.0,80.0,Hadapsar,2
3659,3 BHK,1494.0,2.0,94.55,Hadapsar,3
3661,2 BHK,1041.0,2.0,36.44,Hadapsar,2
3662,3 BHK,2017.0,2.0,125.0,Hadapsar,3
3665,2 BHK,881.0,2.0,48.06,Hadapsar,2
3666,2 Bedroom,900.0,2.0,55.0,Hadapsar,2
3667,4 BHK,3317.5,5.0,268.5,Hadapsar,4
3668,3 BHK,1680.0,3.0,125.0,Hadapsar,3
3669,2 BHK,1165.0,2.0,43.0,Hadapsar,2
3671,2 BHK,900.0,2.0,27.0,Hadapsar,2
3672,3 BHK,1590.0,3.0,131.0,Hadapsar,3
3673,3 Bedroom,2400.0,3.0,120.0,Hadapsar,3
3674,2 BHK,1232.0,2.0,87.0,Hadapsar,2
3675,2 BHK,1200.0,2.0,60.0,Hadapsar,2
3676,2 BHK,1171.0,2.0,72.0,Hadapsar,2
3677,5 Bedroom,5000.0,6.0,360.0,Hadapsar,5
3680,3 BHK,1730.0,3.0,115.0,Hadapsar,3
3681,2 BHK,1195.0,2.0,73.0,Hadapsar,2
3682,3 BHK,1820.0,3.0,89.0,Hadapsar,3
3683,2 BHK,1350.0,2.0,45.0,Hadapsar,2
3684,2 BHK,1150.0,2.0,45.0,Hadapsar,2
3685,2 BHK,800.0,2.0,41.145,Hadapsar,2
3686,1 RK,527.0,1.0,35.0,Hadapsar,1
3687,3 Bedroom,1280.0,3.0,87.0,Hadapsar,3
3688,3 BHK,1798.0,3.0,110.0,Hadapsar,3
3689,2 BHK,1490.0,2.0,150.0,Hadapsar,2
3690,2 BHK,1165.0,2.0,85.0,Hadapsar,2
3692,2 BHK,1270.0,2.0,95.0,Hadapsar,2
3693,3 BHK,1850.0,3.0,120.0,Hadapsar,3
3694,2 BHK,1030.0,2.0,44.0,Hadapsar,2
3695,2 BHK,1192.0,2.0,53.5,Hadapsar,2
3696,2 BHK,900.0,2.0,27.98,Hadapsar,2
3697,3 BHK,1890.0,4.0,125.0,Hadapsar,3
3698,3 BHK,1221.0,3.0,65.0,Hadapsar,3
3699,4 BHK,2119.0,4.0,111.0,Hadapsar,4
3700,2 BHK,1240.0,2.0,55.0,Hadapsar,2
3701,3 BHK,1525.0,2.0,91.48,Hadapsar,3
3702,2 BHK,1072.0,2.0,45.0,Hadapsar,2
3703,2 BHK,1134.0,2.0,55.0,Hadapsar,2
3704,1 BHK,488.0,1.0,20.0,Hadapsar,1
